algorithm,runTime100,computeRatio,qubits,n_2q_native,n_2q_qiskit
Amplitude Estimation,4.989048,0.600355017630618,4,54,88
Amplitude Estimation,5.179708,0.6234328267153284,4,59,82
Amplitude Estimation,5.244708,0.6157063462827673,4,59,82
Amplitude Estimation,10.195931999999999,0.6930999539816468,5,131,188
Amplitude Estimation,10.217932,0.691607656030594,5,131,188
Amplitude Estimation,11.186170999999998,0.6662601528261995,5,140,202
Amplitude Estimation,20.87153,0.7343496140436278,6,290,426
Amplitude Estimation,21.06153,0.7277249088741415,6,290,426
Amplitude Estimation,20.286457,0.7376497532319222,6,275,426
Amplitude Estimation,41.010422,0.7514626403990674,7,585,868
Amplitude Estimation,40.594422,0.7591634141262068,7,585,868
Amplitude Estimation,41.279422,0.7465656859245753,7,585,868
Hamiltonian Simulation,2.2371160000000003,0.27195728786526935,2,9,9
Hamiltonian Simulation,2.512347,0.5076130009111002,3,18,18
Hamiltonian Simulation,3.2864969999999993,0.5660434194828111,4,27,27
Hamiltonian Simulation,4.167562,0.6007829037696378,5,36,36
Hamiltonian Simulation,4.9668779999999995,0.6265907880161341,6,45,45
Hamiltonian Simulation,5.887943,0.6378628325715789,7,54,54
Hamiltonian Simulation,6.648761,0.645819574504182,8,63,63
Hamiltonian Simulation,7.689992,0.645098200362237,9,72,72
Hamiltonian Simulation,8.151308,0.6832277715429228,10,81,81
Hamiltonian Simulation,9.047373,0.6866855163371732,11,90,90
Hamiltonian Simulation,9.755191,0.6920315553021975,12,99,99
Hamiltonian Simulation,10.787422,0.6876341724649319,13,108,108
Hamiltonian Simulation,11.286738,0.7111177737978855,14,117,117
Hamiltonian Simulation,12.205803,0.7102932924609712,15,126,126
Hamiltonian Simulation,13.067119,0.7100340939728184,16,135,135
Hamiltonian Simulation,14.063184,0.7055016843980709,17,144,144
Hamiltonian Simulation,14.556499999999998,0.7233881771030125,18,153,153
Hamiltonian Simulation,15.406564999999999,0.7252427779975615,19,162,162
Hamiltonian Simulation,16.180383,0.7238209379839773,20,171,171
Hamiltonian Simulation,17.279614,0.7163701689169677,21,180,180
Hamiltonian Simulation,17.755432,0.727484411531074,22,189,189
Hamiltonian Simulation,18.646662999999997,0.7284788704552659,23,198,198
Hamiltonian Simulation,19.509979,0.7274277435152544,24,207,207
Hamiltonian Simulation,20.744044000000002,0.715173955473677,25,216,216
Hamiltonian Simulation,21.14636,0.7303384601416035,26,225,225
Hamiltonian Simulation,21.991425,0.7315351324436683,27,234,234
Hamiltonian Simulation,22.823741000000002,0.7315146101596577,28,243,243
Hamiltonian Simulation,23.584806,0.7351936666343576,29,252,252
Monte Carlo Sampling (2),5.363206,0.6151917341977913,4,57,96
Monte Carlo Sampling (2),10.764425999999998,0.6760602005160331,5,127,224
Monte Carlo Sampling (2),20.211291,0.739235311588953,6,262,478
Monte Carlo Sampling (2),39.01069699999999,0.7674894914079593,7,526,982
Phase Estimation,1.3917920000000001,0.20175428512306434,4,5,10
Phase Estimation,1.7136259999999996,0.1502078049702794,4,5,12
Phase Estimation,1.3394599999999999,0.1746972660624431,4,5,12
Phase Estimation,1.703205,0.24042907342334008,5,8,18
Phase Estimation,1.707039,0.22618112415709307,5,8,18
Phase Estimation,1.7496219999999998,0.22736339620786664,5,9,20
Phase Estimation,2.2365329999999997,0.266796868188397,6,14,30
Phase Estimation,2.188116,0.27804741613333117,6,13,28
Phase Estimation,2.235367,0.2564679535843555,6,12,24
Phase Estimation,2.7345249999999997,0.32089668223914575,7,20,42
Phase Estimation,2.7229419999999998,0.31796490707477426,7,19,40
Phase Estimation,2.686776,0.31353562783052996,7,19,40
Phase Estimation,3.3959339999999996,0.33763907072398935,8,27,56
Phase Estimation,3.3847679999999998,0.3318395825060979,8,27,56
Phase Estimation,3.6041,0.3246302821786299,8,27,56
Phase Estimation,3.8509259999999994,0.37066409481771395,9,33,66
Phase Estimation,4.040926,0.3532358672244926,9,33,66
Phase Estimation,4.205756,0.367211031738408,9,35,70
Phase Estimation,4.978829,0.3830418759109822,10,44,88
Phase Estimation,5.371492999999999,0.37246627706672997,10,46,90
Phase Estimation,4.912995,0.39293750553379353,10,44,88
Phase Estimation,5.946149,0.3994349956585346,11,55,110
Phase Estimation,5.811484999999999,0.392584683604965,11,53,106
Phase Estimation,5.965983,0.3941848308987807,11,55,110
Phase Estimation,7.246886,0.39070574588864787,12,66,132
Phase Estimation,7.085886,0.39958305849120346,12,66,132
Phase Estimation,6.955886,0.40705094936863545,12,66,132
Phase Estimation,8.081121000000001,0.4155240343511747,13,78,156
Phase Estimation,8.247372,0.40289197577119107,13,77,154
Phase Estimation,7.948121,0.4224772119095821,13,76,152
