,jobid,app_key,app_circuit_index,repetition_index,circuit_width,num_2q_gates,total_shots,observed_fidelity,simulated_fidelity
0,25db7575-6454-4683-bb9f-7ea1a1bbd760,Benchmark Results - Amplitude Estimation - Qiskit,0,0,4,82,2500,0.9966959649665109,0.994190246767376
1,ba4b029c-eb58-47a8-99a9-6e6cf67625d0,Benchmark Results - Amplitude Estimation - Qiskit,0,1,4,82,2500,0.9986142396683032,0.994190246767376
2,ac894dd7-d0f9-4615-9bca-facea2184f43,Benchmark Results - Amplitude Estimation - Qiskit,0,2,4,82,2500,0.9990504583706942,0.994190246767376
3,a09bbe0e-add7-4154-ab06-7f748739c67d,Benchmark Results - Amplitude Estimation - Qiskit,1,0,4,88,2500,1.0,1.0
4,14bd7fa8-d325-4d09-9808-4613fcf48f08,Benchmark Results - Amplitude Estimation - Qiskit,2,0,5,188,2500,0.9568299381023825,0.9888076922471659
5,39849c43-adcd-4483-b046-a876f90489a2,Benchmark Results - Amplitude Estimation - Qiskit,2,1,5,188,2500,0.9717802878459422,0.9888076922471659
6,3e48ff7d-0d16-4f7b-b017-5286dbd99616,Benchmark Results - Amplitude Estimation - Qiskit,3,0,5,202,2500,0.8969371031623011,0.9895898176467799
7,6cca234f-b1e4-4a1b-9042-9f775bfbe6f1,Benchmark Results - Amplitude Estimation - Qiskit,3,1,5,202,2500,0.9257157445169921,0.9895898176467799
8,2406a009-4f0a-4939-a840-9157685013bc,Benchmark Results - Amplitude Estimation - Qiskit,4,0,6,426,2500,0.9936,1.0
9,5f3a6527-44a0-446a-a0e0-9c8a1dc0b25d,Benchmark Results - Amplitude Estimation - Qiskit,5,0,6,426,2500,0.9279804002839266,0.9798506678600355
10,cf989da4-a0ff-401d-90ac-bf4cfb3493db,Benchmark Results - Amplitude Estimation - Qiskit,6,0,6,426,2500,0.9545813465231225,0.9806844944284985
11,d2cfcc37-c4f5-4c81-9558-4deeb14bdb8c,Benchmark Results - Amplitude Estimation - Qiskit,7,0,6,426,2500,0.5604,1.0
12,65488f52-4472-43d8-8e61-af077ad0bffc,Benchmark Results - Amplitude Estimation - Qiskit,7,1,6,426,2500,0.7908000000000001,1.0
13,90876381-b772-4696-94f4-29dc48d6136f,Benchmark Results - Amplitude Estimation - Qiskit,7,2,6,426,2500,0.9211999999999999,1.0
14,f42e0fa0-e367-40b6-a211-03c1733e5c2b,Benchmark Results - Amplitude Estimation - Qiskit,8,0,6,426,2500,0.4368713664075203,0.9542037625899089
15,2af96585-494f-4598-ae7c-2892cb4909ae,Benchmark Results - Amplitude Estimation - Qiskit,8,1,6,426,2500,0.7572930435324408,0.9542037625899089
16,91e9e5de-06d9-489a-b7ca-3a71362eed65,Benchmark Results - Amplitude Estimation - Qiskit,9,0,6,426,2500,0.6331019879907199,0.9846135924458881
17,0ddce5a0-2566-436e-8682-e97370c543b7,Benchmark Results - Amplitude Estimation - Qiskit,9,1,6,426,2500,0.5559013869256804,0.9846135924458881
18,0af9c2cb-2663-4e32-82e4-05d6d953aff5,Benchmark Results - Amplitude Estimation - Qiskit,10,0,7,868,2500,0.3011157169573784,0.9933026254283776
19,4b67851f-ab27-4ea2-840d-7b419a66bdfd,Benchmark Results - Amplitude Estimation - Qiskit,10,1,7,868,2500,0.030664303318763873,0.9933026254283776
20,7a20a54a-9407-45cb-9c56-015640498bd3,Benchmark Results - Amplitude Estimation - Qiskit,11,0,7,868,2500,0.0028934234897556904,0.9899826452990694
21,7183e456-635c-4838-8bdb-b818e9bd9d68,Benchmark Results - Amplitude Estimation - Qiskit,12,0,7,868,2500,0.13873457917208531,0.9873745206964237
22,f03d2a44-68bb-4664-91f9-4efdff766da7,Benchmark Results - Phase Estimation - Qiskit,0,0,5,18,2500,1.0,1.0
23,d123a2f1-b007-4ff2-99d8-2161c1c17464,Benchmark Results - Phase Estimation - Qiskit,1,0,5,18,2500,1.0,1.0
24,58fffac4-30ec-4cfc-af6e-00da77097f51,Benchmark Results - Phase Estimation - Qiskit,2,0,5,20,2500,1.0,1.0
